group,lever,serial,id,apt,tier,reported,draws,pos,neg,waterFlowDir_to_write
Coleman Village MHC-CUST,15154/260,70270341,967ef0f0-666f-11f0-8658-7f4e94e41769,153,PIN,FLIPPED,FLIPPED,0,5092,2
Coleman Village MHC-CUST,15154/260,70260607,b6858470-666c-11f0-8658-7f4e94e41769,154,PIN,FLIPPED,FLIPPED,0,5725,2
Coleman Village MHC-CUST,15154/260,75370435,2753f7e0-0c99-11f1-8768-5551e7a34f27,156,PIN,FLIPPED,FLIPPED,0,5673,2
Coleman Village MHC-CUST,15154/260,75373744,f6367400-01dd-11f1-af1d-29d4205d602a,158,PIN,FLIPPED,FLIPPED,0,5425,2
Coleman Village MHC-CUST,15154/260,70273337,92e17ee0-666f-11f0-8658-7f4e94e41769,161,PIN,FLIPPED,FLIPPED,0,62,2
Coleman Village MHC-CUST,15154/260,70260649,d7e3b150-666c-11f0-8658-7f4e94e41769,162,PIN,FLIPPED,FLIPPED,27,2876,2
Coleman Village MHC-CUST,15154/260,70267073,894c5610-667a-11f0-8658-7f4e94e41769,163,PIN,FLIPPED,FLIPPED,0,5494,2
Coleman Village MHC-CUST,15154/260,70268543,a6510780-66b4-11f0-8658-7f4e94e41769,164,PIN,FLIPPED,FLIPPED,0,1056,2
Coleman Village MHC-CUST,15154/260,70266414,b74a3400-666c-11f0-8658-7f4e94e41769,165,PIN,FLIPPED,FLIPPED,0,3867,2
Coleman Village MHC-CUST,15154/260,70259930,06b4f7f0-6677-11f0-8658-7f4e94e41769,166,PIN,FLIPPED,FLIPPED,0,4230,2
Coleman Village MHC-CUST,15154/260,70267370,a3129310-666c-11f0-8658-7f4e94e41769,167,PIN,FLIPPED,FLIPPED,0,5634,2
Coleman Village MHC-CUST,15154/260,70261704,09c81ed0-668c-11f0-8658-7f4e94e41769,168,PIN,FLIPPED,FLIPPED,0,1973,2
Coleman Village MHC-CUST,15154/260,70266331,b2b13630-66b4-11f0-8658-7f4e94e41769,169,PIN,FLIPPED,FLIPPED,0,4788,2
Coleman Village MHC-CUST,15154/260,70267362,b1204ab0-666c-11f0-8658-7f4e94e41769,170,PIN,FLIPPED,FLIPPED,0,1878,2
Coleman Village MHC-CUST,15154/260,77059956,189baf90-666d-11f0-8658-7f4e94e41769,171,PIN,FLIPPED,FLIPPED,10,4885,2
