group,device,fwVer,sessions,completed,hung_est,days_with_records_of_7,rsrp_med
Paola MHC,Device 79466478,17037,8,6,1,0,-119.0
Paola MHC,Device 79460554,17037,7,6,0,7,-106.0
Paola MHC,Device 79465496,17037,7,6,0,7,-116.0
Paola MHC,Device 79464390,17037,7,6,0,0,-120.0
Paola MHC,Device 79461966,16185,7,6,0,5,-117.0
Paola MHC,Device 79466411,16185,7,6,0,7,-111.0
Paola MHC,Device 79461271,17037,7,6,0,7,-114.0
Paola MHC,Device 79460778,16185,7,6,0,7,-114.0
Paola MHC,Device 79454284,17037,7,6,0,7,-108.0
Paola MHC,Device 79460695,16185,16,14,1,7,-114.0
Paola MHC,Device 79461545,16185,6,5,0,5,-111.0
Paola MHC,Device 79462907,,0,0,0,,
Paola MHC,Device 79461156,,0,0,0,,
Paola MHC,Device 79462659,16131,7,6,0,7,-102.0
Paola MHC,Device 79463194,,0,0,0,,
Paola MHC,Device 79461560,17037,7,6,0,7,-116.0
Flower Mound MHC-CUST,Device 75364701,17037,7,6,0,7,-93.0
Flower Mound MHC-CUST,Device 72721022,362,12,13,0,7,-71.0
Flower Mound MHC-CUST,Device 72381575,362,12,13,0,7,-72.0
Flower Mound MHC-CUST,Device 72391921,362,14,13,0,7,-74.0
Flower Mound MHC-CUST,Device 72380635,16185,7,6,0,1,-75.0
Flower Mound MHC-CUST,Device 70270788,362,8,13,0,7,-79.0
Flower Mound MHC-CUST,Device 72379009,362,12,12,0,7,-74.0
Flower Mound MHC-CUST,Device 72387382,362,14,13,0,7,-89.0
Flower Mound MHC-CUST,Device 72378373,,0,0,0,,
Flower Mound MHC-CUST,Device 70269327,362,12,12,0,6,-81.0
Flower Mound MHC-CUST,Device 72387515,362,11,13,0,7,-76.0
Flower Mound MHC-CUST,Device 70258791,362,10,13,0,7,-67.0
Flower Mound MHC-CUST,Device 70266695,362,11,13,0,7,-86.0
Flower Mound MHC-CUST,Device 72387408,362,10,13,0,7,-78.0
Flower Mound MHC-CUST,Device 72380114,362,15,15,0,7,-82.0
Flower Mound MHC-CUST,Device 72391731,16185,7,6,0,7,-87.0
Flower Mound MHC-CUST,Device 70271505,362,11,12,0,6,-80.0
Flower Mound MHC-CUST,Device 70265895,362,11,13,0,7,-82.0
Flower Mound MHC-CUST,Device 72387630,362,8,13,0,7,-81.0
Flower Mound MHC-CUST,Device 72379280,16185,7,6,0,7,-84.0
Flower Mound MHC-CUST,Device 70260615,362,8,12,0,7,-118.0
Flower Mound MHC-CUST,Device 70269715,362,9,13,0,7,-76.0
Flower Mound MHC-CUST,Device 72379041,362,11,13,0,7,-75.0
Flower Mound MHC-CUST,Device 72391194,17037,7,6,0,4,-79.0
Flower Mound MHC-CUST,Device 72379017,16022,6,6,0,7,-71.0
Flower Mound MHC-CUST,Device 70260250,362,10,13,0,7,-70.0
Flower Mound MHC-CUST,Device 72384629,362,10,13,0,7,-73.0
Flower Mound MHC-CUST,Device 72384504,362,11,13,0,7,-72.0
Flower Mound MHC-CUST,Device 70259062,16185,7,6,0,7,-77.0
Flower Mound MHC-CUST,Device 72381088,,0,0,0,,
Flower Mound MHC-CUST,Device 70265945,16185,11,10,0,7,-81.0
Flower Mound MHC-CUST,Device 72378563,362,9,12,0,7,-76.0
Flower Mound MHC-CUST,Device 70269020,362,13,13,0,7,-73.0
Flower Mound MHC-CUST,Device 72379439,17037,8,6,1,4,-77.0
Flower Mound MHC-CUST,Device 72385451,362,10,13,0,7,-68.0
Smitty's MHP,Device 73276857,17037,7,6,0,7,-108.0
Smitty's MHP,Device 79465611,17037,7,6,0,7,-104.0
Smitty's MHP,Device 82377573,17037,7,6,0,7,-96.0
Smitty's MHP,Device 73276931,17037,7,6,0,7,-90.0
Smitty's MHP,Device 79456347,17037,7,6,0,7,-84.0
Smitty's MHP,Device 79457675,17037,7,6,0,4,-96.0
Smitty's MHP,Device 79458285,17037,9,8,0,5,-98.0
Smitty's MHP,Device 79453575,17037,7,6,0,7,-99.0
Smitty's MHP,Device 82377490,17037,6,6,0,0,-101.0
Smitty's MHP,Device 79457766,17037,7,6,0,7,-115.0
Smitty's MHP,Device 79454441,17037,7,6,0,7,-90.0
Smitty's MHP,Device 75477271,17037,7,6,0,0,-94.0
Smitty's MHP,Device 79456594,17037,7,6,0,2,-88.0
Smitty's MHP,Device 72443383,17037,9,8,0,7,-87.0
Smitty's MHP,Device 79458012,17037,7,6,0,7,-111.0
Smitty's MHP,Device 82377672,17037,7,6,0,7,-99.0
Smitty's MHP,Device 79457469,17037,6,5,0,7,-111.0
Smitty's MHP,Device 79456859,17037,9,8,0,7,-94.0
Smitty's MHP,Device 79465017,17037,7,6,0,7,-97.0
Smitty's MHP,Device 72443367,17037,7,6,0,7,-102.0
Smitty's MHP,Device 79458889,17037,7,6,0,7,-97.0
Smitty's MHP,Device 79455901,17037,7,6,0,7,-99.0
Smitty's MHP,Device 73276881,17037,7,6,0,7,-99.0
Smitty's MHP,Device 75501997,17037,7,6,0,7,-95.0
Smitty's MHP,Device 79464911,17037,7,6,0,7,-84.0
Smitty's MHP,Device 79456677,17037,7,6,0,0,-87.0
Smitty's MHP,Device 79463715,17037,13,12,0,7,-90.0
Smitty's MHP,Device 79464960,17037,7,6,0,7,-86.0
Smitty's MHP,Device 79459317,17037,7,6,0,7,-104.0
Smitty's MHP,Device 79458673,17037,8,7,0,7,-86.0
Smitty's MHP,Device 79466650,17037,19,18,0,7,-100.0
Smitty's MHP,Device 79465058,17037,6,6,0,7,-90.0
Smitty's MHP,Device 79464515,17037,7,6,0,7,-107.0
Smitty's MHP,Device 79465165,17037,11,10,0,7,-99.0
Smitty's MHP,Device 79459010,17037,7,6,0,7,-109.0
Smitty's MHP,Device 79466932,17037,8,7,0,7,-78.0
Smitty's MHP,Device 79467906,17037,6,6,0,0,-97.0
Smitty's MHP,Device 79465025,17037,7,6,0,7,-101.0
Smitty's MHP,Device 75465383,17037,7,6,0,7,-99.0
Smitty's MHP,Device 79457006,17037,8,7,0,7,-95.0
Smitty's MHP,Device 2041765681,10706,0,0,0,,
FOTA Test-Cust,Device 79454912,17045,238,18,219,5,-80.0
FOTA Test-Cust,Device 79457295,,0,0,0,,
FOTA Test-Cust,Device 79460281,,0,0,0,,
FOTA Test-Cust,Device 70262397,17034,1,0,0,0,-92.0
FOTA Test-Cust,Device 72390097,17034,2,1,0,0,-96.0
FOTA Test-Cust,Device 77059261,17034,1,0,0,0,-94.0
Grand Central MHP,,15090,7,6,0,7,-98.0
Grand Central MHP,,,0,0,0,,
Grand Central MHP,,17037,7,6,0,7,-101.0
Grand Central MHP,,16185,7,6,0,0,-100.0
Grand Central MHP,,,0,0,0,,
Grand Central MHP,,16185,7,6,0,7,-94.0
Grand Central MHP,,16022,7,6,0,7,-108.0
Grand Central MHP,,15090,7,6,0,7,-97.0
Grand Central MHP,,16185,7,5,1,4,-113.0
Grand Central MHP,,16185,7,6,0,6,-98.0
Grand Central MHP,,16131,7,6,0,5,-95.0
Grand Central MHP,,16185,6,5,0,5,-104.0
Grand Central MHP,,16185,7,6,0,7,-111.0
Grand Central MHP,,16022,7,6,0,0,-109.0
Grand Central MHP,,15090,6,5,0,6,-96.0
